Date,Year,Month,Day,ABOMEY,ADJOHOUN,ALLADA,BETEROU,BOHICON,BONOU,BOUKOUMBE,COTONOU_AEROPORT,DASSA_ZOUME,DJOUGOU,GOUKA,KOKORO,KOUANDE,PARAKOU_AEROPORT,POBE,PORTO_NOVO,SAVE,TCHAOUROU,TCHETTI,ZAGNANADO
01/01/1992,1992,1,1,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
02/01/1992,1992,1,2,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
03/01/1992,1992,1,3,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
04/01/1992,1992,1,4,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
05/01/1992,1992,1,5,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
06/01/1992,1992,1,6,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
07/01/1992,1992,1,7,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
08/01/1992,1992,1,8,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
09/01/1992,1992,1,9,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
10/01/1992,1992,1,10,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
11/01/1992,1992,1,11,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
12/01/1992,1992,1,12,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
13/01/1992,1992,1,13,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
14/01/1992,1992,1,14,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
15/01/1992,1992,1,15,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
16/01/1992,1992,1,16,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
17/01/1992,1992,1,17,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
18/01/1992,1992,1,18,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
19/01/1992,1992,1,19,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
20/01/1992,1992,1,20,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
21/01/1992,1992,1,21,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
22/01/1992,1992,1,22,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
23/01/1992,1992,1,23,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
24/01/1992,1992,1,24,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
25/01/1992,1992,1,25,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
26/01/1992,1992,1,26,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
27/01/1992,1992,1,27,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
28/01/1992,1992,1,28,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
29/01/1992,1992,1,29,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
30/01/1992,1992,1,30,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
31/01/1992,1992,1,31,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0
01/02/1992,1992,2,1,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
02/02/1992,1992,2,2,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
03/02/1992,1992,2,3,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
04/02/1992,1992,2,4,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
05/02/1992,1992,2,5,0,0,,0,0,6.1,0,0,0,0,0,,0,0,0,0,0,0,0,0
